ENA.Accession.Number,Isolate,Lane.accession,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS838942,18090_8#19,ERR1218709,S,R,R,,S,S,R,R,R,R,R,S
ERS838946,18090_8#20,ERR1218710,S,R,R,,S,S,R,R,R,R,R,I
ERS838954,18090_8#21,ERR1218711,S,R,R,,R,S,R,R,R,R,R,S
ERS838970,18090_8#22,ERR1218712,R,R,R,,S,S,R,R,R,R,R,R
ERS838973,18090_8#23,ERR1218713,R,R,R,,S,S,R,R,R,R,R,R
ERS838982,18090_8#24,ERR1218714,R,R,R,,S,S,R,R,R,R,R,R
ERS838984,18090_8#25,ERR1218715,S,R,R,,S,S,R,R,R,R,S,R
ERS838992,18090_8#26,ERR1218716,I,R,R,,R,S,R,R,R,I,I,R
ERS838998,18090_8#27,ERR1218717,R,R,R,,R,S,R,R,R,R,R,S
ERS839000,18090_8#28,ERR1218718,R,R,R,,R,S,R,R,S,R,R,R
ERS839002,18090_8#29,ERR1218719,S,R,R,,S,S,R,R,R,R,R,R
ERS838861,18090_8#2,ERR1218692,S,R,R,,S,S,R,R,S,S,R,R
ERS839005,18090_8#30,ERR1218720,S,R,R,,S,S,R,R,R,R,R,S
ERS839020,18090_8#33,ERR1218723,S,R,R,,R,S,R,R,R,R,S,S
ERS838863,18090_8#3,ERR1218693,R,R,R,,R,R,R,R,I,R,R,R
ERS838865,18090_8#4,ERR1218694,I,R,R,,S,S,R,R,R,R,S,R
ERS838867,18090_8#5,ERR1218695,S,R,R,,S,S,R,R,R,S,S,S
ERS838869,18090_8#6,ERR1218696,S,R,R,,S,S,R,R,S,S,S,S
ERS838871,18090_8#7,ERR1218697,S,R,R,,S,S,R,R,R,R,R,R
ERS839037,18090_8#84,ERR1218774,I,R,R,,S,S,R,R,S,S,S,S
ERS838873,18090_8#8,ERR1218698,R,R,R,,S,S,R,R,R,I,R,R
