Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP,ST
11679_5#5,2011.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_4#9,2011.0,S,S,R,,S,S,S,S,S,S,S,S,73
11657_7#17,2011.0,S,S,R,,S,S,S,S,S,S,S,S,73
11679_6#7,2011.0,S,S,R,,R,S,S,S,R,R,R,S,131
11657_6#19,2011.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_6#8,2011.0,S,S,R,,R,S,S,S,S,S,R,S,12
11679_6#9,2011.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_3#11,2011.0,S,S,R,,R,S,S,S,S,S,S,S,10
11658_3#12,2011.0,S,S,S,,S,S,S,S,S,S,S,S,976
11679_8#6,2011.0,S,S,R,,S,S,S,S,R,R,S,R,131
11679_7#8,2011.0,S,S,R,,S,S,S,S,S,S,R,R,131
11679_4#10,2011.0,S,S,R,,R,S,S,S,S,S,R,S,10
11679_6#10,2011.0,S,S,R,,S,S,S,S,S,S,R,S,69
11679_7#9,2011.0,S,S,R,,R,S,S,S,S,S,R,S,38
11679_6#11,2011.0,S,R,R,,S,S,R,R,S,S,S,S,4702
11657_7#18,2011.0,S,S,S,,S,S,S,S,S,S,S,S,28
11657_5#17,2011.0,S,S,S,,S,S,S,S,S,S,S,S,14
11657_5#18,2011.0,S,S,S,,S,S,S,S,S,S,S,S,428
11657_6#20,2011.0,R,R,R,,R,S,R,R,R,R,R,R,44
11657_7#19,2011.0,S,S,R,,S,S,S,S,S,S,S,S,93
11791_6#10,2011.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_4#11,2011.0,S,S,R,,S,S,S,S,S,S,R,S,95
11657_5#19,2011.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_6#21,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#35,2010.0,S,S,S,,S,S,S,S,S,S,R,S,14
11658_6#36,2010.0,S,S,R,,R,R,S,S,S,S,R,S,540
11658_3#13,2010.0,S,S,R,,R,S,R,R,R,R,R,R,648
11658_4#20,2010.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#37,2010.0,S,S,S,,S,S,S,S,S,S,S,S,5351
11658_7#27,2010.0,S,S,R,,R,R,S,S,S,S,S,S,95
11679_4#12,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_5#20,2010.0,S,S,R,,S,S,S,S,S,S,S,S,38
11679_6#12,2011.0,S,S,R,,R,S,S,S,S,S,R,S,1979
11658_5#43,2011.0,S,S,R,,R,S,S,S,S,S,S,S,998
11658_6#38,2011.0,S,S,R,,S,S,S,S,S,S,S,S,428
11658_5#44,2011.0,S,R,R,,R,S,R,R,R,R,S,R,131
11658_6#39,2011.0,S,S,R,,S,S,S,S,S,S,R,R,5640
11658_8#44,2011.0,S,S,S,,S,S,S,S,S,S,S,S,567
11658_7#28,2011.0,S,S,S,,S,S,S,S,S,S,S,S,5589
11679_8#7,2011.0,S,S,R,,S,S,S,S,S,S,R,R,95
11658_8#45,2011.0,S,S,R,,R,R,S,R,S,S,R,S,5593
11791_7#23,2011.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_5#45,2011.0,S,S,R,,R,S,S,S,S,S,R,R,1431
11658_5#46,2011.0,S,S,S,,S,S,S,S,S,S,S,S,12
11658_5#47,2011.0,S,S,S,,S,S,S,S,S,S,S,S,390
11658_8#46,2011.0,S,S,R,,R,S,S,S,S,S,S,S,95
11658_7#29,2011.0,S,S,R,,R,S,S,S,S,S,R,S,95
11658_8#47,2011.0,S,S,R,,S,S,S,S,S,S,S,S,95
11658_8#48,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_8#49,2011.0,S,S,S,,S,S,S,S,S,S,S,S,569
11658_6#40,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#41,2011.0,S,R,R,,S,S,R,R,S,S,S,R,131
11658_8#50,2011.0,S,S,R,,S,S,S,S,S,S,R,S,38
11658_6#42,2011.0,S,S,R,,R,S,S,S,S,S,S,S,69
11791_7#24,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_8#51,2012.0,S,S,S,,S,S,S,S,S,S,S,S,405
11791_7#25,2012.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_6#43,2012.0,,,,,,,,,,,,,131
11679_6#13,2012.0,S,S,S,,S,S,S,S,S,S,S,S,357
11791_7#26,2012.0,S,S,R,,S,S,S,S,S,S,R,S,38
11658_6#44,2012.0,S,S,R,,S,S,S,S,S,S,R,S,5389
11791_7#27,2012.0,S,S,R,,S,S,R,R,S,S,S,S,547
11658_6#45,2012.0,S,S,R,,S,S,S,S,S,S,S,S,12
11791_7#28,2012.0,S,S,R,,R,R,S,R,S,S,S,S,73
11791_7#29,2012.0,S,S,R,,S,S,S,S,S,S,S,R,773
11791_7#30,2012.0,S,S,R,,S,S,S,S,S,S,R,S,58
11658_5#49,2012.0,S,S,R,,S,S,S,S,S,S,S,S,5520
11791_7#32,2012.0,S,S,R,,S,S,S,S,S,S,R,S,127
11658_8#52,2012.0,S,S,R,,R,R,S,S,S,S,S,S,38
11658_6#47,2012.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_8#53,2012.0,S,S,R,,S,S,S,S,S,S,R,S,14
11791_7#33,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_7#30,2012.0,S,R,R,,R,S,R,R,R,R,R,R,131
11658_5#50,2012.0,S,S,R,,S,S,S,S,S,S,R,S,5494
11658_5#51,2012.0,S,S,R,,S,S,S,S,S,S,S,S,127
11658_6#48,2012.0,S,S,R,,S,S,S,S,S,S,S,S,59
11658_4#21,2012.0,S,S,R,,R,S,S,S,S,S,R,S,58
11791_7#34,2012.0,S,S,R,,R,R,S,R,S,S,S,S,73
11657_5#21,2012.0,S,S,S,,S,S,S,S,S,S,S,S,2526
11791_3#1,2012.0,S,S,R,,R,,S,R,S,S,S,R,12
11658_4#22,2012.0,S,S,S,,S,S,S,S,S,S,S,S,131
11658_5#52,2012.0,S,S,S,,S,S,S,R,S,S,S,S,973
11658_6#49,2012.0,S,R,R,,R,S,R,R,S,S,R,S,38
11658_7#31,2012.0,S,S,R,,S,S,S,S,S,S,R,R,393
11658_8#54,2012.0,S,S,R,,S,S,S,S,R,R,R,S,95
11791_7#35,2012.0,S,S,R,,S,S,S,S,S,S,R,R,95
11658_8#55,2012.0,R,R,R,,R,S,R,R,S,R,R,R,131
11658_6#50,2012.0,S,S,S,,S,S,S,S,S,S,R,S,73
11658_4#23,2012.0,S,S,R,,R,,S,S,S,S,S,R,448
11679_5#6,2012.0,S,S,R,,R,S,S,S,S,S,R,S,998
11791_3#2,2012.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_5#53,2012.0,S,S,S,,S,S,S,S,S,S,S,S,131
11658_6#52,2012.0,S,S,R,,S,S,S,S,S,S,R,S,58
11658_5#54,2012.0,S,S,S,,S,S,S,S,S,S,S,S,91
11658_5#55,2012.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_6#53,2012.0,S,S,R,,S,S,S,S,R,R,S,S,131
11658_5#56,2011.0,S,S,S,,S,S,S,S,S,S,S,S,69
11679_8#8,2012.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_7#32,2012.0,S,S,R,,S,S,S,S,S,S,S,S,155
11658_6#54,2012.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_7#33,2012.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_5#57,2012.0,S,S,R,,R,S,S,S,S,S,S,S,131
11791_7#36,2012.0,S,S,R,,S,S,S,S,S,S,S,S,69
11658_7#34,2012.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_7#35,2012.0,S,R,R,,S,S,R,R,S,S,R,R,73
11658_6#55,2012.0,S,S,R,,R,S,S,S,S,S,S,S,12
11658_6#56,2012.0,S,S,R,,S,S,S,S,S,S,S,S,95
11658_7#36,2012.0,S,S,S,,S,S,S,S,S,S,S,S,73
11679_5#7,2012.0,S,S,S,,S,S,S,S,S,S,S,S,1170
11679_4#13,2012.0,S,S,R,,S,S,S,S,S,S,R,S,38
11679_8#9,2012.0,S,S,R,,R,S,R,R,S,S,S,S,95
11679_6#14,2012.0,S,S,R,,S,S,S,S,R,R,R,R,1193
11679_7#10,2012.0,S,S,S,,S,S,S,S,S,S,S,S,357
11679_5#8,2012.0,S,S,S,,S,S,S,S,S,S,S,S,2802
11657_5#22,2012.0,S,S,S,,S,S,R,S,S,S,S,R,131
11657_5#23,2012.0,S,S,S,,S,S,S,S,S,S,S,S,550
11679_4#14,2012.0,S,S,S,,S,S,S,S,S,S,S,S,550
